OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
3065	307	307	Posterior	Galerius Valerius Maximinus Caesar	x		https://en.wikipedia.org/wiki/Maximinus_Daza		
3066	307	307	Posterior	Flavius Valerius Constantinus Caesar	x		https://en.wikipedia.org/wiki/Constantine_the_Great		
3067	307	307	Posterior	Galerius Valerius Maximinus Caesar (until Apr.)	n				
1405	308	308	Prior	(a) C. Aurelius Valerius Diocletianus X	n		https://en.wikipedia.org/wiki/Diocletian		
1406	308	308	Prior	(b) M. Aurelius Valerius Maximianus Augustus X	x				
1407	308	308	Prior	(c) M. Aurelius Valerius Maxentius Augustus (from Apr.)	x		https://en.wikipedia.org/wiki/Valerius_Romulus		
3068	308	308	Posterior	C. Galerius Valerius Maximianus Augustus VII	n		https://en.wikipedia.org/wiki/Galerius		
3070	308	308	Posterior	(M. Aurelius Valerius) Romulus (from Apr.)	x				
1408	309	309	Prior	East: Valerius Licinianus Licinius Augustus	x		https://en.wikipedia.org/wiki/Licinius		
1409	309	309	Prior	Italy: M. Aurelius Valerius Maxentius Augustus II	x		https://en.wikipedia.org/wiki/Valerius_Romulus		
3071	309	309	Posterior	Flavius Valerius Constantinus Caesar	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
3072	309	309	Posterior	M. Aurelius Valerius Romulus II	xc				
1410	310	310	Prior	East: Tatius Andronicus	x				
1411	310	310	Prior	Italy: M. Aurelius Valerius Maxentius Augustus III	n				
3073	310	310	Posterior	Pompeius Probus	x		https://en.wikipedia.org/wiki/Pompeius_Probus		
1412	311	311	Prior	C. Galerius Valerius Maximianus Augustus VIII	n		https://en.wikipedia.org/wiki/Galerius		
1413	311	311	Prior	Italy: C. Ceionius Rufius Volusianus (from Sep.)	x				
3075	311	311	Posterior	Galerius Valerius Maximinus Augustus II	n		https://en.wikipedia.org/wiki/Maximinus_Daza		
3076	311	311	Posterior	Rufinus (from Sep.)	x				
1414	312	312	Prior	Flavius Valerius Constantinus Augustus II	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
1415	312	312	Prior	Italy: M. Aurelius Valerius Maxentius Augustus IV	n				
3077	312	312	Posterior	Valerius Licinianus Licinius Augustus II	x		https://en.wikipedia.org/wiki/Licinius		
1416	313	313	Prior	Flavius Valerius Constantinus Augustus III	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
1417	313	313	suff. (I)	Valerius Licinianus Licinius Augustus III	n		https://en.wikipedia.org/wiki/Licinius		
3079	313	313	Posterior	Galerius Valerius Maximinus Augustus III (until July)	n		https://en.wikipedia.org/wiki/Maximinus_Daza		
1418	314	314	Prior	C. Ceionius Rufius Volusianus (II)	x		https://en.wikipedia.org/wiki/Gaius_Ceionius_Rufius_Volusianus		
3081	314	314	Posterior	Petronius Annianus	x				
1419	315	315	Prior	Flavius Valerius Constantinus Augustus IV	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
3082	315	315	Posterior	Valerius Licinianus Licinius Augustus IV	n		https://en.wikipedia.org/wiki/Licinius		
1420	316	316	Prior	Antonius Caecina Sabinus	x				
3083	316	316	Posterior	C. Vettius Cossinius Rufinus	x		https://en.wikipedia.org/wiki/Gaius_Vettius_Cossinius_Rufinus		
1421	317	317	Prior	Ovinius Gallicanus	x		https://en.wikipedia.org/wiki/Ovinius_Gallicanus		
3084	317	317	Posterior	Caesonius Bassus	x		https://en.wikipedia.org/wiki/Caesonius_Bassus		
1422	318	318	Prior	Valerius Licinianus Licinius Augustus V	n		https://en.wikipedia.org/wiki/Licinius		
3085	318	318	Posterior	Flavius Julius Crispus Caesar	x		https://en.wikipedia.org/wiki/Crispus		
1423	319	319	Prior	Flavius Valerius Constantinus Augustus V	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
3086	319	319	Posterior	Valerius Licinianus Licinius Caesar	x		https://en.wikipedia.org/wiki/Licinius_II		
