OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
955	94	94	45413 (I)	M. Lollius Paullinus D. Valerius Asiaticus Saturninus	x	2367	https://en.wikipedia.org/wiki/Marcus_Lollius_Paullinus_Decimus_Valerius_Asiaticus_Saturninus		
956	94	94	1 Sep. (I)	L. Silius Decianus	x	2368			
2617	94	94	Posterior	T. Sextius Magius Lateranus	x	2369			
2618	94	94	45413 (II)	C. Antius A. Julius Quadratus	x	2370			
2619	94	94	1 Sep. (II)	T. Pomponius Bassus	x	2371			
957	95	95	Prior	Imp. Caesar Domitianus Augustus XVII	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
958	95	95	id. Jan. (I)	L. Neratius Marcellus	x	2372	https://en.wikipedia.org/wiki/Lucius_Neratius_Marcellus		
959	95	95	45413 (I)	A. Bucius Lappius Maximus II	n	2314	https://en.wikipedia.org/wiki/Aulus_Bucius_Lappius_Maximus		
960	95	95	1 Sep. (I)	Q. Pomponius Rufus	x	2373	https://en.wikipedia.org/wiki/Quintus_Pomponius_Rufus		
2620	95	95	Posterior	T. Flavius Clemens	x	2374			
2622	95	95	45413 (II)	P. Ducenius Verus	x	2375			
2623	95	95	1 Sep. (II)	L. Baebius Tullus	x	2376			
961	96	96	Prior	C. Manlius Valens	x	2377	https://en.wikipedia.org/wiki/Gaius_Manlius_Valens		
962	96	96	45413 (I)	Q. Fabius Postuminus	x	2378	https://en.wikipedia.org/wiki/Quintus_Fabius_Postuminus		
963	96	96	1 Sep. (I)	Ti. Catius Caesius Fronto	x	2379	https://en.wikipedia.org/wiki/Tiberius_Catius_Caesius_Fronto		
2624	96	96	Posterior	C. Antistius Vetus	x	2380			
2625	96	96	45413 (II)	T. Prifernius Paetus	x	2381			
2626	96	96	1 Sep. (II)	M. Calpurnius (…)cus	x	2382			
964	97	97	Prior	Imp. Nerva Caesar Augustus III	xp		https://en.wikipedia.org/wiki/Nerva	inconsistent - no base name found	
965	97	97	Mar.? (I)	Cn. Arrius Antoninus II	n		https://en.wikipedia.org/wiki/Gnaeus_Arrius_Antoninus	inconsistent - no base name found	
966	97	97	May? (I)	M. Annius Verus	x	2383	https://en.wikipedia.org/wiki/Marcus_Annius_Verus_(grandfather_of_Marcus_Aurelius)		
967	97	97	Jul.? (I)	L. Domitius Apollinaris	x	2384	https://en.wikipedia.org/wiki/Lucius_Domitius_Apollinaris		
968	97	97	Sep.? (I)	L. Pomponius Maternus	x	2385			
969	97	97	Nov.? (I)	P. Cornelius Tacitus	x	2386	https://en.wikipedia.org/wiki/Tacitus		
2627	97	97	Posterior	L. Verginius Rufus III	n	2188	https://en.wikipedia.org/wiki/Lucius_Verginius_Rufus		
2628	97	97	Mar.? (II)	(C.?) Calpurnius Piso	x	2387			
2629	97	97	May? (II)	L. Neratius Priscus	x	2388			
2630	97	97	Jul.? (II)	Sex. Hermentidius Campanus	x	2389			
2631	97	97	Sep.? (II)	Q. Glitius Atilius Agricola	x	2390			
2632	97	97	Nov.? (II)	(?) M. Ostorius Scapula	x	2391			
970	98	98	Prior	Imp. Nerva Caesar Augustus IV	n		https://en.wikipedia.org/wiki/Nerva	inconsistent - no base name found	
971	98	98	id. Jan. (I)	Cn. Domitius Afer Curvius Tullus II	x		https://en.wikipedia.org/wiki/Gnaeus_Domitius_Tullus	inconsistent	
972	98	98	1 Feb. (I)	Sex. Julius Frontinus II	x		https://en.wikipedia.org/wiki/Sextus_Julius_Frontinus	inconsistent	
973	98	98	1 Mar. (I)	L. Julius Ursus II	n	2301	https://en.wikipedia.org/wiki/Lucius_Julius_Ursus	inconsistent wikipedia	
974	98	98	1 Apr. (I)	T. Vestricius Spurinna II	x		https://en.wikipedia.org/wiki/Titus_Vestricius_Spurinna	inconsistent	
975	98	98	45413 (I)	C. Pomponius Pius	x	2392	https://en.wikipedia.org/wiki/Gaius_Pomponius_Pius		
976	98	98	1 Jul. (I)	A. Vicirius Martialis	x	2393	https://en.wikipedia.org/wiki/Aulus_Vicirius_Martialis		
