Title	RulerID	Period	Notes
Roman Consul	1620	149BC	Prior
Roman Consul	1623	148BC	Posterior
Roman Consul	1622	148BC	Prior
Roman Consul	1625	147BC	Posterior
Roman Consul	1624	147BC	Prior
Roman Consul	1627	146BC	Posterior
Roman Consul	1522	146BC	Prior
Roman Consul	1629	145BC	Posterior
Roman Consul	1628	145BC	Prior
Roman Consul	1631	144BC	Posterior
Roman Consul	1630	144BC	Prior
Roman Consul	1633	143BC	Posterior
Roman Consul	1506	143BC	Prior
Roman Consul	1635	142BC	Posterior
Roman Consul	1634	142BC	Prior
Roman Consul	1637	141BC	Posterior
Roman Consul	1442	141BC	Prior
Roman Consul	1639	140BC	Posterior
Roman Consul	1638	140BC	Prior
Roman Consul	1304	139BC	Posterior
Roman Consul	1640	139BC	Prior
Roman Consul	1643	138BC	Posterior
Roman Consul	1642	138BC	Prior
Roman Consul	1645	137BC	Posterior
Roman Consul	1644	137BC	Prior
Roman Consul	1647	136BC	Posterior
Roman Consul	1646	136BC	Prior
Roman Consul	1649	135BC	Posterior
Roman Consul	1648	135BC	Prior
Roman Consul	1650	134BC	Posterior
Roman Consul	1514	134BC	Prior
Roman Consul	1652	133BC	Posterior
Roman Consul	1574	133BC	Prior
Roman Consul	1654	132BC	Posterior
Roman Consul	1653	132BC	Prior
Roman Consul	1429	131BC	Posterior
Roman Consul	1655	131BC	Prior
Roman Consul	1659	130BC	Posterior
Roman Consul	1343	130BC	Prior
Roman Consul	1506	130BC	suff. (I)
Roman Consul	1661	129BC	Posterior
Roman Consul	1660	129BC	Prior
Roman Consul	1663	128BC	Posterior
Roman Consul	1592	128BC	Prior
Roman Consul	1665	127BC	Posterior
Roman Consul	1664	127BC	Prior
Roman Consul	1608	126BC	Posterior
Roman Consul	1393	126BC	Prior
Roman Consul	1424	125BC	Posterior
Roman Consul	1668	125BC	Prior
Roman Consul	1671	124BC	Posterior
Roman Consul	1582	124BC	Prior
Roman Consul	1527	123BC	Posterior
Roman Consul	1672	123BC	Prior
Roman Consul	1675	122BC	Posterior
Roman Consul	1539	122BC	Prior
Roman Consul	1677	121BC	Posterior
Roman Consul	1676	121BC	Prior
Roman Consul	1679	120BC	Posterior
Roman Consul	1678	120BC	Prior
Roman Consul	1631	119BC	Posterior
Roman Consul	1680	119BC	Prior
Roman Consul	1683	118BC	Posterior
Roman Consul	1534	118BC	Prior
Roman Consul	1685	117BC	Posterior
Roman Consul	1684	117BC	Prior
Roman Consul	1687	116BC	Posterior
Roman Consul	1686	116BC	Prior
Roman Consul	1689	115BC	Posterior
Roman Consul	1688	115BC	Prior
Roman Consul	1691	114BC	Posterior
Roman Consul	1619	114BC	Prior
Roman Consul	1693	113BC	Posterior
Roman Consul	1692	113BC	Prior
Roman Consul	1623	112BC	Posterior
Roman Consul	1694	112BC	Prior
Roman Consul	1697	111BC	Posterior
Roman Consul	1540	111BC	Prior
Roman Consul	1550	110BC	Posterior
Roman Consul	1493	110BC	Prior
Roman Consul	1701	109BC	Posterior
Roman Consul	1700	109BC	Prior
Roman Consul	1703	108BC	Posterior
Roman Consul	1630	108BC	Prior
Roman Consul	1704	108BC	suff. (II)
Roman Consul	1706	107BC	Posterior
Roman Consul	1705	107BC	Prior
Roman Consul	1708	106BC	Posterior
Roman Consul	1639	106BC	Prior
Roman Consul	1710	105BC	Posterior
Roman Consul	1709	105BC	Prior
Roman Consul	1711	104BC	Posterior
Roman Consul	1705	104BC	Prior
Roman Consul	1608	103BC	Posterior
Roman Consul	1705	103BC	Prior
Roman Consul	1713	102BC	Posterior
Roman Consul	1705	102BC	Prior
Roman Consul	1661	101BC	Posterior
Roman Consul	1705	101BC	Prior
Roman Consul	1429	100BC	Posterior
Roman Consul	1705	100BC	Prior
Roman Consul	1458	99BC	Posterior
Roman Consul	1716	99BC	Prior
Roman Consul	1719	98BC	Posterior
Roman Consul	1718	98BC	Prior
Roman Consul	1581	97BC	Posterior
Roman Consul	1522	97BC	Prior
Roman Consul	1582	96BC	Posterior
Roman Consul	1539	96BC	Prior
Roman Consul	1725	95BC	Posterior
Roman Consul	1724	95BC	Prior
Roman Consul	1727	94BC	Posterior
Roman Consul	1726	94BC	Prior
Roman Consul	1729	93BC	Posterior
Roman Consul	1728	93BC	Prior
Roman Consul	1659	92BC	Posterior
