rulerID	row	name	reign	sheet_birthdeath	born	died	source	status
2038	2018	L. Naevius Surdinus	30–30					NO-QID
2039	2019	M. Vinicius						NO-QID
2040	2020	C. Cassius Longinus			-5		wikidata	OK born only
2041	2021	Faustus Cornelius Sulla	31–31					NO-DATE on wikidata
2042	2022	P. Memmius Regulus	31–31			61	wikidata	OK died only
2043	2023	L. Aelius Sejanus	31–31		-20	31	wikidata	OK
2044	2024	Sex. Tedius Valerius Catullus	31–31					NO-DATE on wikidata
2045	2025	L. Fulcinius Trio	31–31			35	wikidata	OK died only
2046	2026	Cn. Domitius Ahenobarbus						NO-QID
2047	2027	L. Arruntius Camillus Scribonianus	32–32		-1	42	wikidata	OK
2048	2028	A. Vitellius	32–48					NO-QID
2050	2029	L. Salvius Otho	33–33					NO-DATE on wikidata
2051	2030	L. Cornelius Sulla Felix	-80–33					NO-QID
2052	2031	C. Octavius Laenas	33–33					NO-DATE on wikidata
2053	2032	Paullus Fabius Persicus	34–34		-1	54	wikidata	OK
2054	2033	Q. Marcius Barea Soranus	34–52					NO-QID
2055	2034	L. Vitellius	34–48					NO-QID
2056	2035	T. Rustius Nummius Gallus	34–34					NO-DATE on wikidata
2057	2036	C. Cestius Gallus	35–42					NO-QID
2058	2037	D. Valerius Asiaticus	35–46					NO-QID
2059	2038	M. Servilius Nonianus	35–35			59	wikidata	OK died only
2060	2039	A. Gabinius Secundus	35–43					NO-QID
2061	2040	Sex. Papinius Allenius	36–36					NO-DATE on wikidata
2062	2041	C. Vettius Rufus	36–36					NO-DATE on wikidata
2063	2042	Q. Plautius	36–36					NO-DATE on wikidata
2064	2043	M. Porcius Cato						NO-QID
2065	2044	Cn. Acerronius Proculus	37–37					NO-DATE on wikidata
2067	2045	A. Caecina Paetus	37–37			42	wikidata	OK died only
2068	2046	C. Petronius Pontius Nigrinus	37–37					NO-DATE on wikidata
2070	2047	C. Caninius Rebilus						NO-DATE on wikidata
2071	2048	M. Aquila Julianus	38–38					NO-DATE on wikidata
2072	2049	Ser. Asinius Celer	38–38		-1	46	wikidata	OK
2073	2050	P. Nonius Asprenas Calpurnius Serranus	38–38		5	41	wikidata	OK
2074	2051	Sex. Nonius Quinctilianus						NO-DATE on wikidata
2075	2052	Q. Sanquinius Maximus	39–39			46	wikidata	OK died only
2076	2053	Cn. Domitius Corbulo	39–39		7	67	wikidata	OK
2077	2054	Cn. Domitius Afer	39–39		-16	59	wikidata	OK
2078	2055	L. Apronius Caesianus	39–39					NO-DATE on wikidata
2079	2056	A. Didius Gallus	39–39					NO-DATE on wikidata
2080	2057	C. Laecanius Bassus	40–64					NO-DATE on wikidata
2081	2058	without colleague	40–40					NO-URL no title match
2082	2059	Q. Terentius Culleo	40–40					NO-DATE on wikidata
2083	2060	Q. Pomponius Secundus	41–41					NO-DATE on wikidata
2085	2061	Q. Futius Lusius Saturninus	41–41					NO-DATE on wikidata
2086	2062	Q. Ostorius Scapula	41–41					NO-QID
2087	2063	Cn. Sentius Saturninus						NO-DATE on wikidata
2088	2064	M. Seius Varanus	41–41					NO-DATE on wikidata
2089	2065	P. Suillius Rufus	41–41					NO-DATE on wikidata
2090	2066	C. Cestius Gallus				101	wikidata	OK died only
2091	2067	Cornelius Lupus	42–42			47	wikidata	OK died only
2092	2068	C. Caecina Largus						NO-QID
2093	2069	Sex. Palpellius Hister	43–43					NO-DATE on wikidata
2094	2070	A. Gabinius Secundus						NO-DATE on wikidata
2095	2071	Q. Curtius Rufus	43–43					NO-DATE on wikidata
2096	2072	L. Pedanius Secundus	43–43			61	wikidata	OK died only
2097	2073	Sp. Oppius	43–43					NO-DATE on wikidata
2098	2074	P. Calvisius Sabinus Pomponius Secundus	44–44					NO-DATE on wikidata
2099	2075	(?) T. Axius	44–44					NO-QID
2100	2076	T. Statilius Taurus	44–44					NO-DATE on wikidata
2101	2077	(?) T. Mussidius Pollianus	44–44					NO-QID
2102	2078	Ti. Plautius Silvanus Aelianus	45–74			79	wikidata	OK died only
2103	2079	M. Pompeius Silvanus Staberius Flavianus	45–76			83	wikidata	OK died only
2104	2080	(?) P. Fabius Firmanus	45–45					NO-QID
2105	2081	T. Statilius Taurus Corvinus	45–45					NO-DATE on wikidata
2106	2082	A. Antonius Rufus	45–45					NO-DATE on wikidata
2107	2083	(?) L. Tampius Flavianus	45–76					NO-DATE on wikidata
2108	2084	Camerinus Antistius Vetus	46–46					NO-DATE on wikidata
2109	2085	Q. Sulpicius Camerinus				67	wikidata	OK died only
2110	2086	D. Laelius Balbus						NO-DATE on wikidata
2111	2087	C. Terentius Tullius Geminus	46–46					NO-DATE on wikidata
2112	2088	M. Junius Silanus						NO-URL no title match
2113	2089	C. Calpetanus Rantius Sedatus	47–47					NO-DATE on wikidata
2114	2090	Cn. Hosidius Geta	47–47		20		wikidata	OK born only
2115	2091	L. Vagellius	47–47					NO-URL no title match
2116	2092	C. Volasenna Severus	47–47					NO-URL no title match
2117	2093	M. Hordeonius Flaccus	47–47		14	69	wikidata	OK
2118	2094	T. Flavius Sabinus	47–72					MISMATCH died 69 before reign end 72
2119	2095	A. Vitellius			15	69	wikidata	OK
2120	2096	L. Vitellius				69	wikidata	OK died only
2121	2097	L. Vipstanus Poplicola	48–48					NO-DATE on wikidata
2122	2098	Messalla Vipstanus Gallus	48–48					NO-DATE on wikidata
2123	2099	Q. Veranius	49–49		12	58	wikidata	OK
2124	2100	L. Mammius Pollio	49–49					NO-URL no title match
2125	2101	C. Pompeius Longinus Gallus	49–49					NO-URL no title match
2126	2102	Q. Allius Maximus	49–49					NO-URL no title match
2127	2103	Q. Futius	50–50					NO-URL no title match
2128	2104	M. Suillius Nerullinus	50–50					NO-DATE on wikidata
2129	2105	P. Calvisius	50–50					NO-URL no title match
2130	2106	L. Calventius Vetus Carminius	51–51					NO-DATE on wikidata
2132	2107	Ser. Cornelius Scipio Salvidienus Orfitus	51–51					NO-DATE on wikidata
2133	2108	Faustus Cornelius Sulla Felix	52–52		23	62	wikidata	OK
2134	2109	Q. Marcius Barea Soranus			10	65	wikidata	OK
2135	2110	L. Salvidienus Rufus Salvianus	52–52					NO-URL no title match
2136	2111	L. Salvius Otho Titianus	52–69		32	69	wikidata	OK
2137	2112	D. Junius Silanus Torquatus	53–53		16	64	wikidata	OK
2138	2113	Q. Caecina Primus	53–53					NO-DATE on wikidata
2139	2114	P. Calvisius Ruso	53–79					NO-URL no title match
2140	2115	Q. Haterius Antoninus	53–53					NO-DATE on wikidata
2141	2116	P. Trebonius						NO-URL no title match
2142	2117	M. Acilius Aviola	54–54			97	wikidata	OK died only
2143	2118	M. Junius Silanus						NO-URL no title match
2144	2119	Vellaeus Tutor	54–54					NO-URL no title match
2145	2120	M. Asinius Marcellus	54–54					NO-DATE on wikidata
2146	2121	A. Pompeius Paulinus	54–54					NO-URL no title match
2148	2122	N. Cestius	55–55					NO-DATE on wikidata
2149	2123	P. Cornelius Dolabella						NO-DATE on wikidata
2150	2124	M. Trebellius Maximus	55–55					NO-DATE on wikidata
2151	2125	T. (or P.?) Palfurius	55–55					NO-URL no title match
