Year,,_1,Year_link,_link,_1_link,Source_Table,Western consul,Eastern consul,Western consul_link,Eastern consul_link
,Ap. Claudius Crassus Inregillensis Sabinus,T. Genucius (or Minucius) Augurinus,,https://en.wikipedia.org/wiki/Appius_Claudius_Crassus_Inregillensis_Sabinus,https://en.wikipedia.org/wiki/Titus_Genucius_Augurinus,Table_2,,,,
,T. Veturius Geminus Cicurinus[45],C. Julius Iullus,,https://en.wikipedia.org/wiki/Titus_Veturius_Geminus_Cicurinus_(consul_462_BC),https://en.wikipedia.org/wiki/Gaius_Julius_Iullus_(decemvir),Table_2,,,,
,A. Manlius Vulso,Ser. Sulpicius Camerinus Cornutus,,https://en.wikipedia.org/wiki/Aulus_Manlius_Vulso_(decemvir),https://en.wikipedia.org/wiki/Servius_Sulpicius_Camerinus_Cornutus_(consul_461_BC),Table_2,,,,
,P. Sestius Capitolinus Vaticanus,P. Curiatius Fistus Trigeminus,,https://en.wikipedia.org/wiki/Publius_Sestius_Capitolinus_Vaticanus,https://en.wikipedia.org/wiki/Publius_Curiatius_Fistus_Trigeminus,Table_2,,,,
,T. Romilius Rocus Vaticanus,Sp. Postumius Albus Regillensis,,https://en.wikipedia.org/wiki/Titus_Romilius_Rocus_Vaticanus,https://en.wikipedia.org/wiki/Spurius_Postumius_Albus_Regillensis_(consul_466_BC),Table_2,,,,
450,Second Decemvirate,,,https://en.wikipedia.org/wiki/Decemviri#Second_decemvirate,,Table_2,,,,
,Ap. Claudius Crassus Inregillensis Sabinus II,M. Cornelius Maluginensis,,https://en.wikipedia.org/wiki/Appius_Claudius_Crassus_Inregillensis_Sabinus,https://en.wikipedia.org/wiki/Marcus_Cornelius_Maluginensis,Table_2,,,,
,M.(?) Sergius Esquilinus,L. Minucius Esquilinus Augurinus,,https://en.wikipedia.org/wiki/Lucius_Sergius_Esquilinus,https://en.wikipedia.org/wiki/Lucius_Minucius_Esquilinus_Augurinus,Table_2,,,,
,Q. Fabius Vibulanus,Q. Poetelius,,https://en.wikipedia.org/wiki/Quintus_Fabius_Vibulanus_(consul_467_BC),https://en.wikipedia.org/wiki/Quintus_Poetelius_Libo_Visolus,Table_2,,,,
,T. Antonius Merenda,Caeso Duillius Longus,,https://en.wikipedia.org/wiki/Titus_Antonius_Merenda,https://en.wikipedia.org/wiki/Caeso_Duillius_Longus,Table_2,,,,
,Sp. Oppius Cornicen,M'. Rabuleius,,https://en.wikipedia.org/wiki/Spurius_Oppius_Cornicen,https://en.wikipedia.org/wiki/Manius_Rabuleius,Table_2,,,,
449,L. Valerius Poplicola Potitus,M. Horatius Turrinus Barbatus[46],,https://en.wikipedia.org/wiki/Lucius_Valerius_Poplicola_Potitus,https://en.wikipedia.org/wiki/Marcus_Horatius_Turrinus_Barbatus,Table_2,,,,
448,Lars Herminius Coritinesanus,T. Verginius Tricostus Caeliomontanus,,https://en.wikipedia.org/wiki/Lars_Herminius_Aquilinus,https://en.wikipedia.org/wiki/Titus_Verginius_Tricostus_Caeliomontanus_(consul_448_BC),Table_2,,,,
447,M. Geganius Macerinus,C. Julius Iullus,,https://en.wikipedia.org/wiki/Marcus_Geganius_Macerinus,https://en.wikipedia.org/wiki/Gaius_Julius_Iullus_(consul_447_BC),Table_2,,,,
446,T. Quinctius Capitolinus Barbatus IV,Agrippa Furius Fusus,,https://en.wikipedia.org/wiki/Titus_Quinctius_Capitolinus_Barbatus,https://en.wikipedia.org/wiki/Agrippa_Furius_Fusus,Table_2,,,,
445,M. Genucius Augurinus,C. Curiatius Philo,,https://en.wikipedia.org/wiki/Marcus_Genucius_Augurinus,https://en.wikipedia.org/wiki/Gaius_Curtius_Philo,Table_2,,,,
444,Consular tribunes,,,,,Table_2,,,,
,A. Sempronius Atratinus,L. Atilius Luscus,,https://en.wikipedia.org/wiki/Aulus_Sempronius_Atratinus_(consular_tribune_444_BC),,Table_2,,,,
,T. Cloelius Siculus,,,https://en.wikipedia.org/wiki/Titus_Cloelius_Siculus,,Table_2,,,,
suff.,L. Papirius Mugillanus[47],L. Sempronius Atratinus,,https://en.wikipedia.org/wiki/Lucius_Papirius_Mugillanus_(consul_444_BC),https://en.wikipedia.org/wiki/Lucius_Sempronius_Atratinus_(consul_444_BC),Table_2,,,,
443,M. Geganius Macerinus II,T. Quinctius Capitolinus Barbatus V,,https://en.wikipedia.org/wiki/Marcus_Geganius_Macerinus,https://en.wikipedia.org/wiki/Titus_Quinctius_Capitolinus_Barbatus,Table_2,,,,
442,M. Fabius Vibulanus,Postumus Aebutius Helva Cornicen,,https://en.wikipedia.org/wiki/Marcus_Fabius_Vibulanus_(consul_442_BC),https://en.wikipedia.org/wiki/Postumus_Aebutius_Helva_Cornicen,Table_2,,,,
441,C. Furius Pacilus Fusus,M'. Papirius Crassus,,https://en.wikipedia.org/wiki/Gaius_Furius_Pacilus_Fusus,https://en.wikipedia.org/wiki/Manius_Papirius_Crassus,Table_2,,,,
440,Proculus Geganius Macerinus,T. Menenius Lanatus II[48],,,https://en.wikipedia.org/wiki/Titus_Menenius_Lanatus_(consul_452_BC),Table_2,,,,
439,Agrippa Menenius Lanatus,T. Quinctius Capitolinus Barbatus VI,,https://en.wikipedia.org/wiki/Agrippa_Menenius_Lanatus_(consul_439_BC),https://en.wikipedia.org/wiki/Titus_Quinctius_Capitolinus_Barbatus,Table_2,,,,
438,Consular tribunes,,,,,Table_2,,,,
,Mam. Aemilius (Mamercinus?),L. Quinctius Cincinnatus,,https://en.wikipedia.org/wiki/Mamercus_Aemilius_Mamercinus,https://en.wikipedia.org/wiki/Lucius_Quinctius_Cincinnatus_(consular_tribune),Table_2,,,,
,L. Julius Iullus[49],,,https://en.wikipedia.org/wiki/Lucius_Julius_Iullus_(consul),,Table_2,,,,
437,M. Geganius Macerinus III,L. Sergius Fidenas,,https://en.wikipedia.org/wiki/Marcus_Geganius_Macerinus,https://en.wikipedia.org/wiki/Lucius_Sergius_Fidenas,Table_2,,,,
436,M. (or A.) Cornelius Maluginensis[50],L. Papirius Crassus,,https://en.wikipedia.org#cite_note-FOOTNOTEDrummond197896_(note_68)-50,https://en.wikipedia.org/wiki/Lucius_Papirius_Crassus_(consul_436_BC),Table_2,,,,
435,C. Julius Iullus II,(L. or Proculus) Verginius Tricostus,,https://en.wikipedia.org/wiki/Gaius_Julius_Iullus_(consul_447_BC),https://en.wikipedia.org/wiki/Proculus_Verginius_Tricostus,Table_2,,,,
434,Consular tribunes(?)[51],,,https://en.wikipedia.org#cite_note-51,,Table_2,,,,
,M. Manlius Capitolinus,Q. Sulpicius Camerinus Praetextatus,,,https://en.wikipedia.org/wiki/Quintus_Sulpicius_Camerinus_Praetextatus,Table_2,,,,
,Ser. Cornelius Cossus,,,,,Table_2,,,,
433,Consular tribunes,,,,,Table_2,,,,
,M. Fabius Vibulanus,M. Foslius Flaccinator,,https://en.wikipedia.org/wiki/Marcus_Fabius_Vibulanus_(consul_442_BC),https://en.wikipedia.org/wiki/Marcus_Foslius_Flaccinator,Table_2,,,,
,L. Sergius Fidenas,,,https://en.wikipedia.org/wiki/Lucius_Sergius_Fidenas,,Table_2,,,,
432,Consular tribunes,,,,,Table_2,,,,
,L. Pinarius Mamercinus,L. Furius Medullinus,,https://en.wikipedia.org/wiki/Lucius_Pinarius_Mamercinus,https://en.wikipedia.org/wiki/Lucius_Furius_Medullinus_(consular_tribune),Table_2,,,,
,Sp. Postumius Albus Regillensis,,,https://en.wikipedia.org/wiki/Spurius_Postumius_Albus_Regillensis_(consular_tribune_432_BC),,Table_2,,,,
431,T. Quinctius Poenus Cincinnatus,C. Julius Mento,,https://en.wikipedia.org/wiki/Titus_Quinctius_Poenus_Cincinnatus,https://en.wikipedia.org/wiki/Gaius_Julius_Mento,Table_2,,,,
430,C. (or L.) Papirius Crassus,L. Julius Iullus,,https://en.wikipedia.org/wiki/Gaius_Papirius_Crassus,https://en.wikipedia.org/wiki/Lucius_Julius_Iullus_(consul),Table_2,,,,
429,Hostus Lucretius Tricipitinus,L. Sergius Fidenas II,,https://en.wikipedia.org/wiki/Hostus_Lucretius_Tricipitinus,https://en.wikipedia.org/wiki/Lucius_Sergius_Fidenas,Table_2,,,,
428,A. Cornelius Cossus,T. Quinctius Poenus Cincinnatus II,,https://en.wikipedia.org/wiki/Aulus_Cornelius_Cossus,https://en.wikipedia.org/wiki/Titus_Quinctius_Poenus_Cincinnatus,Table_2,,,,
427,C. Servilius Axilla[52],L. Papirius Mugillanus,,https://en.wikipedia.org/wiki/Gaius_Servilius_Axilla,https://en.wikipedia.org/wiki/Lucius_Papirius_Mugillanus_(consul_427_BC),Table_2,,,,
426,Consular tribunes[53],,,https://en.wikipedia.org#cite_note-FOOTNOTEDrummond197888-53,,Table_2,,,,
,C. Furius Pacilus Fusus,T. Quinctius Poenus Cincinnatus,,https://en.wikipedia.org/wiki/Gaius_Furius_Pacilus_Fusus,https://en.wikipedia.org/wiki/Titus_Quinctius_Poenus_Cincinnatus,Table_2,,,,
,M. Postumius Albinus Regillensis,A. Cornelius Cossus,,https://en.wikipedia.org/wiki/Marcus_Postumius_Albinus_Regillensis,https://en.wikipedia.org/wiki/Aulus_Cornelius_Cossus,Table_2,,,,
425,Consular tribunes,,,,,Table_2,,,,
,A. Sempronius Atratinus,L. Quinctius Cincinnatus II,,https://en.wikipedia.org/wiki/Aulus_Sempronius_Atratinus_(consular_tribune_425_BC),https://en.wikipedia.org/wiki/Lucius_Quinctius_Cincinnatus_(consular_tribune),Table_2,,,,
,L. Furius Medullinus II,L. Horatius Barbatus[54],,https://en.wikipedia.org/wiki/Lucius_Furius_Medullinus_(consular_tribune),https://en.wikipedia.org#cite_note-54,Table_2,,,,
424,Consular tribunes,,,,,Table_2,,,,
,Ap. Claudius Crassus,Sp. Nautius Rutilus,,https://en.wikipedia.org/wiki/Appius_Claudius_Crassus_(consular_tribune_424_BC),https://en.wikipedia.org/wiki/Spurius_Nautius_Rutilus_(consular_tribune_424_BC),Table_2,,,,
,L. Sergius Fidenas II,Sex. Julius Iullus,,https://en.wikipedia.org/wiki/Lucius_Sergius_Fidenas,https://en.wikipedia.org/wiki/Sextus_Julius_Iulus,Table_2,,,,
423,C. Sempronius Atratinus,Q. Fabius Vibulanus,,https://en.wikipedia.org/wiki/Gaius_Sempronius_Atratinus,https://en.wikipedia.org/wiki/Quintus_Fabius_Vibulanus_(consul_423_BC),Table_2,,,,
422,Consular tribunes,,,,,Table_2,,,,
,L. Manlius Capitolinus,Q. Antonius Merenda,,,https://en.wikipedia.org/wiki/Quintus_Antonius_Merenda,Table_2,,,,
,L. Papirius Mugillanus,,,https://en.wikipedia.org/wiki/Lucius_Papirius_Mugillanus_(consul_427_BC),,Table_2,,,,
421,N. (or Cn.) Fabius Vibulanus,T. Quinctius Capitolinus Barbatus,,https://en.wikipedia.org/wiki/Numerius_Fabius_Vibulanus,https://en.wikipedia.org/wiki/Titus_Quinctius_Capitolinus_Barbatus_(consul_421_BC),Table_2,,,,
420,Consular tribunes,,,,,Table_2,,,,
,Quinctius Cincinnatus[55],L. Furius Medullinus III,,https://en.wikipedia.org#cite_note-55,https://en.wikipedia.org/wiki/Lucius_Furius_Medullinus_(consular_tribune),Table_2,,,,
,M. Manlius Vulso,A. Sempronius Atratinus II,,https://en.wikipedia.org/wiki/Marcus_Manlius_Vulso_(consular_tribune_420_BC),https://en.wikipedia.org/wiki/Aulus_Sempronius_Atratinus_(consular_tribune_425_BC),Table_2,,,,
419,Consular tribunes,,,,,Table_2,,,,
,Agrippa Menenius Lanatus,P. Lucretius Tricipitinus,,https://en.wikipedia.org/wiki/Agrippa_Menenius_Lanatus_(consul_439_BC),https://en.wikipedia.org/wiki/Publius_Lucretius_Tricipitinus_(consular_tribune_419_BC),Table_2,,,,
,Sp. Nautius Rutilus,C. Servilius Axilla,,https://en.wikipedia.org/wiki/Spurius_Nautius_Rutilus_(consular_tribune_419_BC),https://en.wikipedia.org/wiki/Gaius_Servilius_Axilla,Table_2,,,,
418,Consular tribunes,,,,,Table_2,,,,
,L. Sergius Fidenas III,M. Papirius Mugillanus,,https://en.wikipedia.org/wiki/Lucius_Sergius_Fidenas,https://en.wikipedia.org/wiki/Marcus_Papirius_Mugillanus,Table_2,,,,
,C. Servilius Axilla II,,,https://en.wikipedia.org/wiki/Gaius_Servilius_Axilla,,Table_2,,,,
417,Consular tribunes,,,,,Table_2,,,,
,P. Lucretius Tricipitinus II,Agrippa Menenius Lanatus II,,https://en.wikipedia.org/wiki/Publius_Lucretius_Tricipitinus_(consular_tribune_419_BC),https://en.wikipedia.org/wiki/Agrippa_Menenius_Lanatus_(consul_439_BC),Table_2,,,,
,C. Servilius Axilla III,Sp. Veturius Crassus[56],,https://en.wikipedia.org/wiki/Gaius_Servilius_Axilla,https://en.wikipedia.org#cite_note-FOOTNOTEOgilvie1965606-56,Table_2,,,,
416,Consular tribunes,,,,,Table_2,,,,
