Year,,_1,Year_link,_link,_1_link,Source_Table,Western consul,Eastern consul,Western consul_link,Eastern consul_link
22,D. Haterius Agrippa,C. Sulpicius Galba,,https://en.wikipedia.org/wiki/Decimus_Haterius_Agrippa,https://en.wikipedia.org/wiki/Gaius_Sulpicius_Galba_(consul_AD_22),Table_7,,,,
23,C. Asinius Pollio,C. Antistius Vetus,,https://en.wikipedia.org/wiki/Gaius_Asinius_Pollio_(consul_23),https://en.wikipedia.org/wiki/Gaius_Antistius_Vetus_(consul_23),Table_7,,,,
suff.,,C. Stertinius Maximus,,,https://en.wikipedia.org/wiki/Gaius_Stertinius_Maximus,Table_7,,,,
24,Ser. Cornelius Cethegus,L. Visellius Varro,,https://en.wikipedia.org/wiki/Servius_Cornelius_Cethegus,https://en.wikipedia.org/wiki/Lucius_Visellius_Varro,Table_7,,,,
Jul.,C. Calpurnius Aviola,P. Cornelius Lentulus Scipio,,https://en.wikipedia.org/wiki/Gaius_Calpurnius_Aviola,https://en.wikipedia.org/wiki/Publius_Cornelius_Lentulus_Scipio,Table_7,,,,
25,Cossus Cornelius Lentulus,M. Asinius Agrippa,,https://en.wikipedia.org/wiki/Cossus_Cornelius_Lentulus_(consul_25),https://en.wikipedia.org/wiki/Marcus_Asinius_Agrippa,Table_7,,,,
Sep.,C. Petronius,,,https://en.wikipedia.org/wiki/Gaius_Petronius_(consul_25),,Table_7,,,,
26,Cn. Cornelius Lentulus Gaetulicus,C. Calvisius Sabinus,,https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Lentulus_Gaetulicus_(consul_26),https://en.wikipedia.org/wiki/Gaius_Calvisius_Sabinus_(consul_26),Table_7,,,,
suff.,Q. Junius Blaesus,L. Antistius Vetus,,https://en.wikipedia.org/wiki/Quintus_Junius_Blaesus_(consul_26),https://en.wikipedia.org/wiki/Lucius_Antistius_Vetus_(consul_26),Table_7,,,,
27,L. Calpurnius Piso,M. Licinius Crassus Frugi,,https://en.wikipedia.org/wiki/Lucius_Calpurnius_Piso_(consul_27),https://en.wikipedia.org/wiki/Marcus_Licinius_Crassus_Frugi_(consul_27),Table_7,,,,
suff.,P. Cornelius Lentulus,C. Sallustius Passienus Crispus,,https://en.wikipedia.org/wiki/Publius_Cornelius_Lentulus_(consul_27),https://en.wikipedia.org/wiki/Gaius_Sallustius_Passienus_Crispus,Table_7,,,,
28,Ap. Junius Silanus,P. Silius Nerva,,https://en.wikipedia.org/wiki/Appius_Junius_Silanus,https://en.wikipedia.org/wiki/Publius_Silius_Nerva_(consul_28),Table_7,,,,
suff.,L. Junius Silanus,C. Vellaeus Tutor,,,https://en.wikipedia.org/wiki/Gaius_Vellaeus_Tutor,Table_7,,,,
29,C. Fufius Geminus,L. Rubellius Geminus,,https://en.wikipedia.org/wiki/Gaius_Fufius_Geminus_(consul_29),https://en.wikipedia.org/wiki/Lucius_Rubellius_Geminus,Table_7,,,,
Jul.,A. Plautius,L. Nonius Asprenas,,https://en.wikipedia.org/wiki/Aulus_Plautius,https://en.wikipedia.org/wiki/Lucius_Nonius_Asprenas_(consul_29),Table_7,,,,
30,L. Cassius Longinus,M. Vinicius,,https://en.wikipedia.org/wiki/Lucius_Cassius_Longinus_(consul_30),https://en.wikipedia.org/wiki/Marcus_Vinicius_(consul_30),Table_7,,,,
Jul.,L. Naevius Surdinus,C. Cassius Longinus,,https://en.wikipedia.org/wiki/Lucius_Naevius_Surdinus,https://en.wikipedia.org/wiki/Gaius_Cassius_Longinus_(consul_30),Table_7,,,,
31[101],Ti. Caesar Augustus V,L. Aelius Sejanus,https://en.wikipedia.org#cite_note-FOOTNOTEBodel1995296-101,https://en.wikipedia.org/wiki/Tiberius,https://en.wikipedia.org/wiki/Sejanus,Table_7,,,,
9 May,Faustus Cornelius Sulla,Sex. Tedius Valerius Catullus,,https://en.wikipedia.org/wiki/Faustus_Cornelius_Sulla_(consul_31),https://en.wikipedia.org/wiki/Sextus_Tedius_Valerius_Catullus,Table_7,,,,
Jul.,,L. Fulcinius Trio,,,https://en.wikipedia.org/wiki/Lucius_Fulcinius_Trio,Table_7,,,,
Oct.,P. Memmius Regulus,,,https://en.wikipedia.org/wiki/Publius_Memmius_Regulus,,Table_7,,,,
32,Cn. Domitius Ahenobarbus,L. Arruntius Camillus Scribonianus,,https://en.wikipedia.org/wiki/Gnaeus_Domitius_Ahenobarbus_(father_of_Nero),https://en.wikipedia.org/wiki/Lucius_Arruntius_Camillus_Scribonianus,Table_7,,,,
Jul.,,A. Vitellius,,,,Table_7,,,,
33,L. Livius Ocella Sulpicius Galba,L. Cornelius Sulla Felix,,https://en.wikipedia.org/wiki/Galba,https://en.wikipedia.org/wiki/Lucius_Cornelius_Sulla_Felix_(consul_33),Table_7,,,,
Jul.,L. Salvius Otho,C. Octavius Laenas,,https://en.wikipedia.org/wiki/Lucius_Salvius_Otho,https://en.wikipedia.org/wiki/Gaius_Octavius_Laenas,Table_7,,,,
34,Paullus Fabius Persicus,L. Vitellius,,https://en.wikipedia.org/wiki/Paullus_Fabius_Persicus,https://en.wikipedia.org/wiki/Lucius_Vitellius_(consul_34),Table_7,,,,
Jul.,Q. Marcius Barea Soranus,T. Rustius Nummius Gallus,,https://en.wikipedia.org/wiki/Quintus_Marcius_Barea_Soranus_(consul_34),https://en.wikipedia.org/wiki/Titus_Rustius_Nummius_Gallus,Table_7,,,,
35,C. Cestius Gallus,M. Servilius Nonianus,,https://en.wikipedia.org/wiki/Gaius_Cestius_Gallus_(consul_35),https://en.wikipedia.org/wiki/Marcus_Servilius_Nonianus,Table_7,,,,
Jul.,D. Valerius Asiaticus,A. Gabinius Secundus,,https://en.wikipedia.org/wiki/Decimus_Valerius_Asiaticus_(consul_35),https://en.wikipedia.org/wiki/Aulus_Gabinius_Secundus_(consul_35),Table_7,,,,
36,Sex. Papinius Allenius,Q. Plautius,,https://en.wikipedia.org/wiki/Sextus_Papinius_Allenius,https://en.wikipedia.org/wiki/Quintus_Plautius,Table_7,,,,
Jul.,C. Vettius Rufus[102],M. Porcius Cato,,https://en.wikipedia.org#cite_note-102,https://en.wikipedia.org/wiki/Marcus_Porcius_Cato_(consul_36),Table_7,,,,
,,,,,,Table_7,,,,
37[103],Cn. Acerronius Proculus,C. Petronius Pontius Nigrinus,https://en.wikipedia.org#cite_note-103,https://en.wikipedia.org/wiki/Gnaeus_Acerronius_Proculus,https://en.wikipedia.org/wiki/Gaius_Petronius_Pontius_Nigrinus,Table_7,,,,
1 Jul.,C. Caesar Augustus Germanicus,Ti. Claudius Nero Germanicus,,https://en.wikipedia.org/wiki/Caligula,https://en.wikipedia.org/wiki/Claudius,Table_7,,,,
1 Sep.,A. Caecina Paetus,C. Caninius Rebilus,,https://en.wikipedia.org/wiki/Aulus_Caecina_Paetus,https://en.wikipedia.org/wiki/Gaius_Caninius_Rebilus_(consul_37),Table_7,,,,
,,,,,,Table_7,,,,
38,M. Aquila Julianus,P. Nonius Asprenas Calpurnius Serranus,,https://en.wikipedia.org/wiki/Marcus_Aquila_Julianus,https://en.wikipedia.org/wiki/Asprenas_Calpurnius_Serranus,Table_7,,,,
1 Jul.,Ser. Asinius Celer,Sex. Nonius Quinctilianus,,https://en.wikipedia.org/wiki/Servius_Asinius_Celer,https://en.wikipedia.org/wiki/Sextus_Nonius_Quinctilianus_(consul_38),Table_7,,,,
,,,,,,Table_7,,,,
39,C. Caesar Augustus Germanicus II,L. Apronius Caesianus,,https://en.wikipedia.org/wiki/Caligula,https://en.wikipedia.org/wiki/Lucius_Apronius_Caesianus,Table_7,,,,
Feb.,Q. Sanquinius Maximus,,,https://en.wikipedia.org/wiki/Quintus_Sanquinius_Maximus,,Table_7,,,,
1 Jul.,Cn. Domitius Corbulo,unidentified,,https://en.wikipedia.org/wiki/Gnaeus_Domitius_Corbulo,,Table_7,,,,
suff.,Cn. Domitius Afer,A. Didius Gallus (2 September–December),,https://en.wikipedia.org/wiki/Gnaeus_Domitius_Afer,https://en.wikipedia.org/wiki/Aulus_Didius_Gallus,Table_7,,,,
,,,,,,Table_7,,,,
40,C. Caesar Augustus Germanicus III,without colleague,,https://en.wikipedia.org/wiki/Caligula,,Table_7,,,,
id. Jan.,C. Laecanius Bassus,Q. Terentius Culleo,,https://en.wikipedia.org/wiki/Gaius_Laecanius_Bassus_(consul_40),https://en.wikipedia.org/wiki/Quintus_Terentius_Culleo,Table_7,,,,
,,,,,,Table_7,,,,
41[104],C. Caesar Augustus Germanicus IV (January),Cn. Sentius Saturninus (January–June),https://en.wikipedia.org#cite_note-104,https://en.wikipedia.org/wiki/Caligula,https://en.wikipedia.org/wiki/Gnaeus_Sentius_Saturninus_(consul_41),Table_7,,,,
suff.,Q. Pomponius Secundus (February–June),,,https://en.wikipedia.org/wiki/Quintus_Pomponius_Secundus,,Table_7,,,,
1 Jul.,unidentified,unidentified,,,,Table_7,,,,
suff.,Q. Futius Lusius Saturninus (September–October),M. Seius Varanus,,https://en.wikipedia.org/wiki/Quintus_Futius_Lusius_Saturninus,https://en.wikipedia.org/wiki/Marcus_Seius_Varanus,Table_7,,,,
suff.,Q. Ostorius Scapula[105] (November–December),P. Suillius Rufus,,https://en.wikipedia.org#cite_note-105,https://en.wikipedia.org/wiki/Publius_Suillius_Rufus,Table_7,,,,
,,,,,,Table_7,,,,
42,Ti. Claudius Caesar Augustus Germanicus II,C. Caecina Largus,,https://en.wikipedia.org/wiki/Claudius,https://en.wikipedia.org/wiki/Gaius_Caecina_Largus_(consul_42),Table_7,,,,
Mar.,C. Cestius Gallus,,,https://en.wikipedia.org/wiki/Gaius_Cestius_Gallus_(governor_of_Syria),,Table_7,,,,
Sep.?,Cornelius Lupus,,,https://en.wikipedia.org/wiki/Cornelius_Lupus,,Table_7,,,,
,,,,,,Table_7,,,,
43[106],Ti. Claudius Caesar Augustus Germanicus III,L. Vitellius II,https://en.wikipedia.org#cite_note-FOOTNOTECamodeca2002235Cooley2012461-106,https://en.wikipedia.org/wiki/Claudius,https://en.wikipedia.org/wiki/Lucius_Vitellius_(consul_34),Table_7,,,,
Mar.,Sex. Palpellius Hister,L. Pedanius Secundus,,https://en.wikipedia.org/wiki/Sextus_Palpellius_Hister,https://en.wikipedia.org/wiki/Lucius_Pedanius_Secundus,Table_7,,,,
Aug.?,A. Gabinius Secundus,unidentified,,https://en.wikipedia.org/wiki/Aulus_Gabinius_Secundus_(consul_43),,Table_7,,,,
Oct.,Q. Curtius Rufus,Sp. Oppius,,https://en.wikipedia.org/wiki/Curtius_Rufus,https://en.wikipedia.org/wiki/Spurius_Oppius,Table_7,,,,
,,,,,,Table_7,,,,
44[107],C. Sallustius Passienus Crispus II,T. Statilius Taurus,https://en.wikipedia.org#cite_note-107,https://en.wikipedia.org/wiki/Gaius_Sallustius_Passienus_Crispus,https://en.wikipedia.org/wiki/Titus_Statilius_Taurus_(consul_44),Table_7,,,,
suff.,P. Calvisius Sabinus Pomponius Secundus,,,https://en.wikipedia.org/wiki/Publius_Pomponius_Secundus,,Table_7,,,,
suff.,(?) T. Axius,(?) T. Mussidius Pollianus,,,,Table_7,,,,
,,,,,,Table_7,,,,
45,M. Vinicius II,T. Statilius Taurus Corvinus,,https://en.wikipedia.org/wiki/Marcus_Vinicius_(consul_30),https://en.wikipedia.org/wiki/Titus_Statilius_Taurus_Corvinus,Table_7,,,,
1 Mar.,Ti. Plautius Silvanus Aelianus[108],,,https://en.wikipedia.org/wiki/Tiberius_Plautius_Silvanus_Aelianus,,Table_7,,,,
Jul.?,M. Pompeius Silvanus Staberius Flavianus,A. Antonius Rufus,,https://en.wikipedia.org/wiki/Marcus_Pompeius_Silvanus_Staberius_Flavianus,https://en.wikipedia.org/wiki/Aulus_Antonius_Rufus,Table_7,,,,
Dec.?,(?) P. Fabius Firmanus,(?) L. Tampius Flavianus,,,,Table_7,,,,
,,,,,,Table_7,,,,
46,D. Valerius Asiaticus II (January–February),M. Junius Silanus (January–December),,https://en.wikipedia.org/wiki/Decimus_Valerius_Asiaticus_(consul_35),https://en.wikipedia.org/wiki/Marcus_Junius_Silanus_(consul_46),Table_7,,,,
suff.,Camerinus Antistius Vetus (early March)[109],,,https://en.wikipedia.org/wiki/Camerinus_Antistius_Vetus,,Table_7,,,,
suff.,Q. Sulpicius Camerinus (early March – June),,,https://en.wikipedia.org/wiki/Quintus_Sulpicius_Camerinus_Peticus,,Table_7,,,,
suff.,D. Laelius Balbus (July–August),,,https://en.wikipedia.org/wiki/Decimus_Laelius_Balbus_(consul_46),,Table_7,,,,
suff.,C. Terentius Tullius Geminus (September–December),,,https://en.wikipedia.org/wiki/Gaius_Terentius_Tullius_Geminus,,Table_7,,,,
,,,,,,Table_7,,,,
47[110],Ti. Claudius Caesar Augustus Germanicus IV,L. Vitellius III,https://en.wikipedia.org#cite_note-FOOTNOTECamodeca199152-110,https://en.wikipedia.org/wiki/Claudius,https://en.wikipedia.org/wiki/Lucius_Vitellius_(consul_34),Table_7,,,,
1 Mar.,C. Calpetanus Rantius Sedatus,M. Hordeonius Flaccus,,https://en.wikipedia.org/wiki/Gaius_Calpetanus_Rantius_Sedatus,https://en.wikipedia.org/wiki/Marcus_Hordeonius_Flaccus,Table_7,,,,
1 Jul.,Cn. Hosidius Geta,T. Flavius Sabinus,,https://en.wikipedia.org/wiki/Gnaeus_Hosidius_Geta,https://en.wikipedia.org/wiki/Titus_Flavius_Sabinus_(consul_47),Table_7,,,,
1 Sep.,L. Vagellius,,,,,Table_7,,,,
1 Nov.,C. Volasenna Severus,,,,,Table_7,,,,
,,,,,,Table_7,,,,
48[111],A. Vitellius,L. Vipstanus Poplicola,https://en.wikipedia.org#cite_note-FOOTNOTECamodeca199153-111,https://en.wikipedia.org/wiki/Vitellius,https://en.wikipedia.org/wiki/Lucius_Vipstanus_Poplicola,Table_7,,,,
1 Jul.,L. Vitellius,Messalla Vipstanus Gallus,,https://en.wikipedia.org/wiki/Lucius_Vitellius_(consul_48),https://en.wikipedia.org/wiki/Gaius_Vipstanus_Messalla_Gallus,Table_7,,,,
,,,,,,Table_7,,,,
49,Q. Veranius,C. Pompeius Longinus Gallus,,https://en.wikipedia.org/wiki/Quintus_Veranius,,Table_7,,,,
suff.,L. Mammius Pollio,Q. Allius Maximus,,,,Table_7,,,,
,,,,,,Table_7,,,,
50,C. Antistius Vetus II,M. Suillius Nerullinus,,,https://en.wikipedia.org/wiki/Marcus_Suillius_Nerullinus,Table_7,,,,
suff.,Q. Futius,P. Calvisius,,,,Table_7,,,,
,,,,,,Table_7,,,,
51[112],Ti. Claudius Caesar Augustus Germanicus V,Ser. Cornelius Scipio Salvidienus Orfitus,https://en.wikipedia.org#cite_note-FOOTNOTEGallivan1978425-112,https://en.wikipedia.org/wiki/Claudius,https://en.wikipedia.org/wiki/Servius_Cornelius_Scipio_Salvidienus_Orfitus_(consul_51),Table_7,,,,
Sep.?,L. Calventius Vetus Carminius,,,https://en.wikipedia.org/wiki/Lucius_Calventius_Vetus_Carminius,,Table_7,,,,
Nov.,T. Flavius Vespasianus,,,https://en.wikipedia.org/wiki/Vespasian,,Table_7,,,,
,,,,,,Table_7,,,,
52[112],Faustus Cornelius Sulla Felix,L. Salvius Otho Titianus,https://en.wikipedia.org#cite_note-FOOTNOTEGallivan1978425-112,https://en.wikipedia.org/wiki/Faustus_Cornelius_Sulla_Felix,https://en.wikipedia.org/wiki/Lucius_Salvius_Otho_Titianus,Table_7,,,,
Jul.,Q. Marcius Barea Soranus,,,https://en.wikipedia.org/wiki/Quintus_Marcius_Barea_Soranus,,Table_7,,,,
Nov.?,L. Salvidienus Rufus Salvianus,,,,,Table_7,,,,
,,,,,,Table_7,,,,
53,D. Junius Silanus Torquatus,Q. Haterius Antoninus,,https://en.wikipedia.org/wiki/Decimus_Junius_Silanus_Torquatus,https://en.wikipedia.org/wiki/Quintus_Haterius_Antoninus,Table_7,,,,
suff.,Q. Caecina Primus,P. Trebonius,,https://en.wikipedia.org/wiki/Quintus_Caecina_Primus,,Table_7,,,,
suff.,P. Calvisius Ruso,,,,,Table_7,,,,
,,,,,,Table_7,,,,
54,M'. Acilius Aviola,M. Asinius Marcellus,,https://en.wikipedia.org/wiki/Manius_Acilius_Aviola_(consul_AD_54),https://en.wikipedia.org/wiki/Marcus_Asinius_Marcellus_(consul_54),Table_7,,,,
Jul.?,M. Junius Silanus,A. Pompeius Paulinus,,,,Table_7,,,,
Sep.?,Vellaeus Tutor,,,,,Table_7,,,,
,,,,,,Table_7,,,,
55[113],Nero Claudius Caesar Augustus Germanicus,L. Antistius Vetus,https://en.wikipedia.org#cite_note-113,https://en.wikipedia.org/wiki/Nero,https://en.wikipedia.org/wiki/Lucius_Antistius_Vetus_(consul_55),Table_7,,,,
1 Mar.,N. Cestius,,,https://en.wikipedia.org/wiki/Numerius_Cestius,,Table_7,,,,
1 May,P. Cornelius Dolabella,L. Annaeus Seneca,,https://en.wikipedia.org/wiki/Publius_Cornelius_Dolabella_(consul_55),https://en.wikipedia.org/wiki/Seneca_the_Younger,Table_7,,,,
1 Jul.,M. Trebellius Maximus,,,https://en.wikipedia.org/wiki/Marcus_Trebellius_Maximus,,Table_7,,,,
1 Sep.,T. (or P.?) Palfurius,,,,,Table_7,,,,
1 Nov.,Cn. Cornelius Lentulus Gaetulicus,T. Curtilius Mancia,,https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Lentulus_Gaetulicus_(consul_55),https://en.wikipedia.org/wiki/Titus_Curtilius_Mancia,Table_7,,,,
,,,,,,Table_7,,,,
56,Q. Volusius Saturninus,P. Cornelius Scipio,,https://en.wikipedia.org/wiki/Quintus_Volusius_Saturninus,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_(consul_56),Table_7,,,,
1 Jul.,L. Junius Gallio Annaeanus,T. Cutius Ciltus,,https://en.wikipedia.org/wiki/Lucius_Junius_Gallio_Annaeanus,,Table_7,,,,
1 Sep.,P. Sulpicius Scribonius Rufus,P. Sulpicius Scribonius Proculus,,https://en.wikipedia.org/wiki/Publius_Sulpicius_Scribonius_Rufus,https://en.wikipedia.org/wiki/Publius_Sulpicius_Scribonius_Proculus,Table_7,,,,
1 Nov.,L. Duvius Avitus,P. Clodius Thrasea Paetus,,https://en.wikipedia.org/wiki/Lucius_Duvius_Avitus,https://en.wikipedia.org/wiki/Publius_Clodius_Thrasea_Paetus,Table_7,,,,
,,,,,,Table_7,,,,
57,Nero Claudius Caesar Augustus Germanicus II,L. Calpurnius Piso,,https://en.wikipedia.org/wiki/Nero,https://en.wikipedia.org/wiki/Lucius_Calpurnius_Piso_(consul_57),Table_7,,,,
1 Jul.,,L. Caesius Martialis,,,https://en.wikipedia.org/wiki/Lucius_Caesius_Martialis,Table_7,,,,
,,,,,,Table_7,,,,
58,Nero Claudius Caesar Augustus Germanicus III,M. Valerius Messalla Corvinus,,https://en.wikipedia.org/wiki/Nero,https://en.wikipedia.org/wiki/Marcus_Valerius_Messalla_Corvinus_(consul_58),Table_7,,,,
1 May,C. Fonteius Agrippa,,,https://en.wikipedia.org/wiki/Gaius_Fonteius_Agrippa,,Table_7,,,,
1 Jul.,A. Paconius Sabinus,A. Petronius Lurco,,,https://en.wikipedia.org/wiki/Aulus_Petronius_Lurco,Table_7,,,,
,,,,,,Table_7,,,,
59,C. Vipstanus Apronianus,C. Fonteius Capito,,https://en.wikipedia.org/wiki/Gaius_Vipstanus_Apronianus,https://en.wikipedia.org/wiki/Gaius_Fonteius_Capito_(consul_59),Table_7,,,,
1 Jul.,T. Sextius Africanus,M. Ostorius Scapula,,https://en.wikipedia.org/wiki/Titus_Sextius_Africanus,https://en.wikipedia.org/wiki/Marcus_Ostorius_Scapula_(consul_59),Table_7,,,,
,,,,,,Table_7,,,,
60,Nero Claudius Caesar Augustus Germanicus IV,Cossus Cornelius Lentulus,,https://en.wikipedia.org/wiki/Nero,https://en.wikipedia.org/wiki/Cossus_Cornelius_Lentulus_(consul_60),Table_7,,,,
1 Jul.,C. Velleius Paterculus[114],M. Manilius Vopiscus,,https://en.wikipedia.org#cite_note-114,,Table_7,,,,
,,,,,,Table_7,,,,
61,P. Petronius Turpilianus,L. Junius Caesennius Paetus,,https://en.wikipedia.org/wiki/Publius_Petronius_Turpilianus,https://en.wikipedia.org/wiki/Lucius_Caesennius_Paetus,Table_7,,,,
1 Jul.,Cn. Pedanius Fuscus Salinator,L. Velleius Paterculus,,https://en.wikipedia.org/wiki/Gnaeus_Pedanius_Fuscus_Salinator_(consul_61),,Table_7,,,,
,,,,,,Table_7,,,,
62,P. Marius,Lucius Afinius Gallus,,https://en.wikipedia.org/wiki/Publius_Marius,https://en.wikipedia.org/wiki/Lucius_Afinius_Gallus,Table_7,,,,
Jul.?,Q. Manlius Tarquitius Saturninus,P. Petronius Niger,,,,Table_7,,,,
Sep.?,T. Clodius Eprius Marcellus,C. Junius Marullus,,https://en.wikipedia.org/wiki/Titus_Clodius_Eprius_Marcellus,,Table_7,,,,
,,,,,,Table_7,,,,
63,C. Memmius Regulus,L. Verginius Rufus,,https://en.wikipedia.org/wiki/Gaius_Memmius_Regulus,https://en.wikipedia.org/wiki/Lucius_Verginius_Rufus,Table_7,,,,
suff.,unidentified[115],unidentified,,https://en.wikipedia.org#cite_note-115,,Table_7,,,,
,,,,,,Table_7,,,,
64,C. Laecanius Bassus,M. Licinius Crassus Frugi,,https://en.wikipedia.org/wiki/Gaius_Laecanius_Bassus,https://en.wikipedia.org/wiki/Marcus_Licinius_Crassus_Frugi_(consul_64),Table_7,,,,
suff.,unidentified,unidentified,,,,Table_7,,,,
,,,,,,Table_7,,,,
65,A. Licinius Nerva Silianus,M. Julius Vestinus Atticus (killed),,https://en.wikipedia.org/wiki/Aulus_Licinius_Nerva_Silianus_(consul_65),https://en.wikipedia.org/wiki/Marcus_Julius_Vestinus_Atticus,Table_7,,,,
suff.,,P. Pasidienus Firmus (attested 17 Jun.),,,https://en.wikipedia.org/wiki/Publius_Pasidienus_Firmus,Table_7,,,,
suff.,C. Pomponius Pius (attested 13 Aug.),C. Anicius Cerialis (attested 13 Aug.),,https://en.wikipedia.org/wiki/Gaius_Pomponius_Pius_(consul_65),https://en.wikipedia.org/wiki/Gaius_Anicius_Cerialis,Table_7,,,,
,,,,,,Table_7,,,,
66,C. Luccius Telesinus,C. Suetonius Paullinus,,https://en.wikipedia.org/wiki/Gaius_Luccius_Telesinus,https://en.wikipedia.org/wiki/Gaius_Suetonius_Paulinus,Table_7,,,,
Jul.,M. Annius Afrinus,C. Paccius Africanus,,https://en.wikipedia.org/wiki/Marcus_Annius_Afrinus,https://en.wikipedia.org/wiki/Gaius_Paccius_Africanus,Table_7,,,,
Sep.,M. Arruntius Aquila,M. Vettius Bolanus,,https://en.wikipedia.org/wiki/Marcus_Arruntius_Aquila_(consul_66),https://en.wikipedia.org/wiki/Marcus_Vettius_Bolanus,Table_7,,,,
,,,,,,Table_7,,,,
67,L. Julius Rufus,Fonteius Capito,,https://en.wikipedia.org/wiki/Lucius_Julius_Rufus,https://en.wikipedia.org/wiki/Fonteius_Capito_(consul_67),Table_7,,,,
suff.,,L. Aurelius Priscus,,,,Table_7,,,,
Jul.,Ap. Annius Gallus,L. Verulanus Severus,,https://en.wikipedia.org/wiki/Appius_Annius_Gallus,,Table_7,,,,
,,,,,,Table_7,,,,
68,Ti. Catius Asconius Silius Italicus,P. Galerius Trachalus,,https://en.wikipedia.org/wiki/Silius_Italicus,https://en.wikipedia.org/wiki/Publius_Galerius_Trachalus,Table_7,,,,
suff.,Imp. Nero Claudius Caesar Augustus Germanicus V (Apr.–Jun.),C. Luccius Telesinus II (from May?),,https://en.wikipedia.org/wiki/Nero,https://en.wikipedia.org/wiki/Gaius_Luccius_Telesinus,Table_7,,,,
suff.,C. Bellicus Natalis,P. Cornelius Scipio Asiaticus,,,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_Asiaticus,Table_7,,,,
,,,,,,Table_7,,,,
69[116],Ser. Galba Caesar Augustus[118] II (until 15 Jan.),T. Vinius (Rufinus?) (until 15 Jan.),https://en.wikipedia.org#cite_note-116,https://en.wikipedia.org/wiki/Galba,https://en.wikipedia.org/wiki/Titus_Vinius,Table_7,,,,
suff.,M. Otho Caesar Augustus[119] (15 Jan.–28 Feb.),L. Salvius Otho Titianus II,,https://en.wikipedia.org/wiki/Otho,https://en.wikipedia.org/wiki/Lucius_Salvius_Otho_Titianus,Table_7,,,,
suff.,L. Verginius Rufus II (March),L. Pompeius Vopiscus,,https://en.wikipedia.org/wiki/Lucius_Verginius_Rufus,https://en.wikipedia.org/wiki/Lucius_Pompeius_Vopiscus_(consul_69),Table_7,,,,
suff.,Cn. Arulenus Caelius Sabinus (April–June),T. Flavius Sabinus,,https://en.wikipedia.org/wiki/Gnaeus_Arulenus_Caelius_Sabinus,https://en.wikipedia.org/wiki/Titus_Flavius_Sabinus_(consul_69),Table_7,,,,
suff.,Cn. Arrius Antoninus (July–August),A. Marius Celsus,,https://en.wikipedia.org/wiki/Gnaeus_Arrius_Antoninus,https://en.wikipedia.org/wiki/Aulus_Marius_Celsus,Table_7,,,,
suff.,Fabius Valens (September–October),A. Caecina Alienus (September–30 October),,https://en.wikipedia.org/wiki/Fabius_Valens,https://en.wikipedia.org/wiki/Aulus_Caecina_Alienus,Table_7,,,,
suff.,,Rosius Regulus (31 October),,,,Table_7,,,,
suff.,Cn. Caecilius Simplex (November−December),C. Quinctius Atticus,,https://en.wikipedia.org/wiki/Gnaeus_Caecilius_Simplex,,Table_7,,,,
,,,,,,Table_7,,,,
70[120],Imp. Caesar Vespasianus Augustus II,T. Caesar Vespasianus,https://en.wikipedia.org#cite_note-120,https://en.wikipedia.org/wiki/Vespasian,https://en.wikipedia.org/wiki/Titus,Table_7,,,,
suff.,C. Licinius Mucianus II (Apr.?),unidentified,,https://en.wikipedia.org/wiki/Gaius_Licinius_Mucianus,,Table_7,,,,
suff.,M. Ulpius Traianus (May?),unidentified,,https://en.wikipedia.org/wiki/Marcus_Ulpius_Traianus_(father_of_Trajan),,Table_7,,,,
suff.,(…)ne(…),unidentified,,,,Table_7,,,,
Nov.?,L. Annius Bassus,C. Laecanius Bassus Caecina Paetus,,https://en.wikipedia.org/wiki/Lucius_Annius_Bassus,https://en.wikipedia.org/wiki/Gaius_Laecanius_Bassus_Caecina_Paetus,Table_7,,,,
,,,,,,Table_7,,,,
71,Imp. Caesar Vespasianus Augustus III,M. Cocceius Nerva,,https://en.wikipedia.org/wiki/Vespasian,https://en.wikipedia.org/wiki/Nerva,Table_7,,,,
Apr.?,Caesar Domitianus,Cn. Pedius Cascus,,https://en.wikipedia.org/wiki/Domitian,,Table_7,,,,
May?,C. Calpetanus Rantius Quirinalis Valerius Festus,,,https://en.wikipedia.org/wiki/Gaius_Calpetanus_Rantius_Quirinalis_Valerius_Festus,,Table_7,,,,
Jul.?,L. Flavius Fimbria,C. Atilius Barbarus,,,,Table_7,,,,
1 Nov.,Cn. Pompeius Collega,Q. Julius Cordus,,https://en.wikipedia.org/wiki/Gnaeus_Pompeius_Collega,https://en.wikipedia.org/wiki/Quintus_Julius_Cordus,Table_7,,,,
,,,,,,Table_7,,,,
72,Imp. Caesar Vespasianus Augustus IV,T. Caesar Vespasianus II,,https://en.wikipedia.org/wiki/Vespasian,https://en.wikipedia.org/wiki/Titus,Table_7,,,,
suff.,C. Licinius Mucianus III (attested 29 May),T. Flavius Sabinus II (attested 29 May),,https://en.wikipedia.org/wiki/Gaius_Licinius_Mucianus,https://en.wikipedia.org/wiki/Titus_Flavius_Sabinus_(consul_69),Table_7,,,,
